n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
256,24,reset,onemkl,4,32768,999035,1004310,30.488128662109375,30.64910888671875
256,24,reset,current,5,32768,845210,850240,25.79376220703125,25.947265625
256,24,reset,pointers,5,32768,790739,795625,24.131439208984375,24.280548095703125
256,24,reset,pipeline,5,32768,833972,838876,25.4508056640625,25.6004638671875
256,24,reset,blocks,5,32768,831579,836462,25.377777099609375,25.52679443359375
256,24,reset,openblas-leaf,5,32768,1111771,1116810,33.928558349609375,34.08233642578125
256,24,reset,openblas-aligned,5,32768,864796,869691,26.3914794921875,26.540863037109375
256,24,reset,openblas,5,32768,1130663,1135642,34.505096435546875,34.65704345703125
256,24,reset,onemkl,5,32768,1002032,1007156,30.57958984375,30.7359619140625
256,24,reset,current,6,32768,850303,855309,25.949188232421875,26.101959228515625
256,24,reset,pointers,6,32768,791964,796989,24.1688232421875,24.322174072265625
256,24,reset,pipeline,6,32768,839038,844506,25.60540771484375,25.77227783203125
256,24,reset,blocks,6,32768,830790,836086,25.35369873046875,25.51531982421875
256,24,reset,openblas-leaf,6,32768,1119822,1125292,34.17425537109375,34.3411865234375
256,24,reset,openblas-aligned,6,32768,894343,899499,27.293182373046875,27.450531005859375
256,24,reset,openblas,6,32768,1137833,1143426,34.723907470703125,34.89459228515625
256,24,reset,onemkl,6,32768,1011972,1017440,30.8829345703125,31.0498046875
256,24,reset,current,7,32768,838622,844184,25.59271240234375,25.762451171875
256,24,reset,pointers,7,32768,784206,789116,23.93206787109375,24.0819091796875
256,24,reset,pipeline,7,32768,820891,825755,25.051605224609375,25.200042724609375
256,24,reset,blocks,7,32768,824090,829030,25.14923095703125,25.29998779296875
256,24,reset,openblas-leaf,7,32768,1106535,1111518,33.768768310546875,33.92083740234375
256,24,reset,openblas-aligned,7,32768,860609,865531,26.263702392578125,26.413909912109375
256,24,reset,openblas,7,32768,1122971,1127994,34.270355224609375,34.42364501953125
256,24,reset,onemkl,7,32768,992724,997813,30.2955322265625,30.450836181640625
4096,0,negate,current,1,2048,399721,405118,195.17626953125,197.8115234375
4096,0,negate,pointers,1,2048,341410,346832,166.7041015625,169.3515625
